date,close
01-01-2020,0
02-01-2020,0
03-01-2020,0
04-01-2020,1
05-01-2020,1
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,3
11-01-2020,1
12-01-2020,1
13-01-2020,0
14-01-2020,0
15-01-2020,1
16-01-2020,0
17-01-2020,0
18-01-2020,0
19-01-2020,1
20-01-2020,0
21-01-2020,2
22-01-2020,1
23-01-2020,1
24-01-2020,1
25-01-2020,0
26-01-2020,0
27-01-2020,1
28-01-2020,8
29-01-2020,2
30-01-2020,5
31-01-2020,0
01-02-2020,0
02-02-2020,4
03-02-2020,0
04-02-2020,2
05-02-2020,2
06-02-2020,5
07-02-2020,1
08-02-2020,0
09-02-2020,0
10-02-2020,2
11-02-2020,2
12-02-2020,3
13-02-2020,0
14-02-2020,1
15-02-2020,1
16-02-2020,0
17-02-2020,1
18-02-2020,1
19-02-2020,3
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,1
26-02-2020,1
27-02-2020,5
28-02-2020,1
29-02-2020,1
01-03-2020,0
02-03-2020,1
03-03-2020,5
04-03-2020,1
05-03-2020,1
06-03-2020,1
07-03-2020,1
08-03-2020,3
09-03-2020,0
10-03-2020,2
11-03-2020,1
12-03-2020,1
13-03-2020,3
14-03-2020,7
15-03-2020,8
16-03-2020,5
17-03-2020,15
18-03-2020,26
19-03-2020,21
20-03-2020,29
21-03-2020,26
22-03-2020,17
23-03-2020,15
24-03-2020,11
25-03-2020,18
26-03-2020,31
27-03-2020,31
28-03-2020,34
29-03-2020,40
30-03-2020,39
31-03-2020,34
01-04-2020,28
02-04-2020,44
03-04-2020,61
04-04-2020,62
05-04-2020,45
06-04-2020,55
07-04-2020,30
08-04-2020,33
09-04-2020,33
10-04-2020,23
11-04-2020,32
12-04-2020,24
13-04-2020,18
14-04-2020,38
15-04-2020,25
16-04-2020,28
17-04-2020,38
18-04-2020,39
19-04-2020,21
20-04-2020,19
21-04-2020,30
22-04-2020,26
